ID	adj.P.Val
224578_at	0.22977
239085_at	0.23
225120_at	0.23062
241707_at	0.23083
1569433_at	0.23083
209330_s_at	0.23128
235149_at	0.2318
232816_s_at	0.2328
223410_s_at	0.23293
241311_at	0.23306
205647_at	0.23306
218733_at	0.23306
224571_at	0.23309
212672_at	0.23309
202165_at	0.23323
237671_at	0.23323
206247_at	0.23323
223675_s_at	0.23323
202543_s_at	0.23323
239341_at	0.23323
204835_at	0.23323
242236_at	0.23323
209799_at	0.23323
225608_at	0.23323
45687_at	0.23323
219988_s_at	0.23323
213155_at	0.23323
228029_at	0.23347
241792_x_at	0.23361
227146_at	0.23361
1561595_x_at	0.23361
235537_at	0.23361
242391_at	0.23361
219326_s_at	0.23366
215793_at	0.23378
211270_x_at	0.23458
236106_at	0.23471
228782_at	0.23471
234726_s_at	0.23478
203680_at	0.23478
207191_s_at	0.23502
222182_s_at	0.23567
1555764_s_at	0.23567
227069_at	0.23567
202361_at	0.2358
204151_x_at	0.2358
225161_at	0.2358
212716_s_at	0.2358
212179_at	0.2358
212371_at	0.2358
244660_at	0.23606
218168_s_at	0.23606
239376_at	0.23622
238733_at	0.23651
231328_s_at	0.23651
228287_at	0.23684
234085_at	0.23684
225509_at	0.23684
225603_s_at	0.23684
218260_at	0.23684
205438_at	0.23684
1556287_a_at	0.23684
228972_at	0.23684
226901_at	0.23684
206663_at	0.23684
218338_at	0.23684
1556185_a_at	0.23684
215071_s_at	0.23684
237867_s_at	0.23684
231896_s_at	0.23684
242842_at	0.23684
213549_at	0.23684
201949_x_at	0.23684
225815_at	0.23684
238632_at	0.23684
233754_x_at	0.23684
242228_at	0.23684
212132_at	0.23684
202613_at	0.23684
223353_at	0.23684
214035_x_at	0.23684
222403_at	0.23684
224939_at	0.23684
1566425_at	0.23684
221782_at	0.23684
1557487_at	0.23684
224118_at	0.23684
1562100_at	0.23684
226574_at	0.23684
1562000_at	0.23684
204651_at	0.23684
204974_at	0.23684
237489_at	0.23684
226758_at	0.23684
232514_at	0.23684
218662_s_at	0.23767
209273_s_at	0.23767
235433_at	0.23767
232451_at	0.23767
240111_at	0.23767
222045_s_at	0.23767
220162_s_at	0.23767
218357_s_at	0.23767
219335_at	0.23767
1562527_at	0.23767
207621_s_at	0.23767
241410_at	0.23767
231147_at	0.23767
201554_x_at	0.23767
207173_x_at	0.23832
218243_at	0.23832
227195_at	0.23832
202257_s_at	0.23832
236982_at	0.23832
240894_at	0.23832
231980_at	0.23832
213065_at	0.23832
236034_at	0.23832
223090_x_at	0.23832
219446_at	0.23878
213592_at	0.23927
213647_at	0.23927
237582_at	0.23927
208026_at	0.23927
201967_at	0.23968
235493_at	0.23968
238824_at	0.23968
232740_at	0.23968
229607_at	0.23981
222759_at	0.24061
244552_at	0.24061
240755_at	0.24146
203280_at	0.24151
37590_g_at	0.24198
227810_at	0.24253
225288_at	0.24294
1559916_a_at	0.2435
1555572_at	0.2435
227605_at	0.2443
48808_at	0.2444
205361_s_at	0.2444
239301_at	0.2444
203464_s_at	0.2444
207480_s_at	0.2444
202767_at	0.2444
203041_s_at	0.2444
214907_at	0.2444
1569478_s_at	0.2444
212498_at	0.2444
1557737_s_at	0.2444
244457_at	0.2444
211275_s_at	0.2444
1561215_at	0.2444
220358_at	0.2444
209665_at	0.2444
209808_x_at	0.2444
240149_at	0.2444
243298_at	0.2444
236458_at	0.2444
226299_at	0.2444
1555854_at	0.2444
1561864_at	0.2444
213476_x_at	0.2444
213269_at	0.2444
232572_at	0.2444
229261_at	0.2444
205768_s_at	0.2444
1558295_a_at	0.2444
227384_s_at	0.2444
226230_at	0.2444
202200_s_at	0.2444
225786_at	0.2444
223532_at	0.2444
241534_at	0.2444
217485_x_at	0.2444
227013_at	0.24448
204622_x_at	0.24448
214409_at	0.24448
244275_at	0.24448
236099_at	0.24448
205186_at	0.24448
242586_at	0.24483
225461_at	0.24536
225417_at	0.24627
201636_at	0.24698
206210_s_at	0.24714
217250_s_at	0.2476
232523_at	0.24852
234717_at	0.24927
242572_at	0.24965
209355_s_at	0.25035
244484_at	0.25035
243815_at	0.25035
211708_s_at	0.25035
243714_at	0.25035
207557_s_at	0.25035
236903_at	0.25035
229695_at	0.25035
244745_at	0.25039
209080_x_at	0.25039
221452_s_at	0.25039
1555842_at	0.25039
213710_s_at	0.25039
242612_at	0.25122
1556009_at	0.25123
211653_x_at	0.25123
1556798_a_at	0.25123
227131_at	0.25123
1560955_at	0.25151
1562730_a_at	0.25151
241826_x_at	0.25151
226334_s_at	0.25151
213223_at	0.25151
1556846_at	0.25192
232405_at	0.25239
225263_at	0.25239
219572_at	0.25329
209160_at	0.25329
1555523_a_at	0.25329
232433_at	0.25333
65585_at	0.25333
205835_s_at	0.25333
208673_s_at	0.25333
203977_at	0.25333
209018_s_at	0.25333
233781_s_at	0.25333
219543_at	0.25333
1569029_at	0.25333
